xt,yt,zt
0.000000,0.000000,-0.000000,20
0.019687,-0.104032,0.564100
0.018285,-0.072490,0.555918
0.008204,-0.061690,0.506819
0.189558,-0.077444,0.382530
0.392610,-0.078485,0.373866
0.151097,-0.057534,0.383323
-0.355233,-0.000145,0.322164
0.420653,-0.065545,0.355321
0.372000,-0.057791,0.340663
0.179358,-0.063510,0.353935
-0.426185,-0.049647,0.284687
-0.328359,-0.030416,0.277703
0.346164,-0.050784,0.242277
0.231743,-0.035604,0.263826
-0.061208,0.169402,0.293995
-0.066680,0.224316,0.301575
-0.069414,-0.336557,0.186461
-0.064233,-0.299431,0.190311
-0.061264,0.213340,0.284438
-0.046107,0.287882,0.291755
-0.052557,0.234695,0.266835
-0.052257,0.054210,0.258168
-0.056049,-0.249178,0.173525
-0.065401,-0.261723,0.185052
-0.031068,0.134890,0.238079
-0.040558,0.088212,0.224594
