x,y,z,xt,yt,zt
-0.709453, -0.555895, -1.547785,0.000000,0.000000,-0.000000
-0.369614, 0.116346, -0.879632,0.019687,-0.104032,0.564100
-0.350915, -0.365267, -1.354521,0.018285,-0.072490,0.555918
-0.467410, 0.106434, -0.887827,0.008204,-0.061690,0.506819
-0.062123, 0.008172, -0.870259,0.189558,-0.077444,0.382530
-0.727143, -0.368492, -1.304282,0.392610,-0.078485,0.373866
-0.032557, -0.262786, -1.189308,0.151097,-0.057534,0.383323
-0.644542, -0.462621, -1.405634,-0.355233,-0.000145,0.322164
-0.136044, -0.030413, -0.905533,0.420653,-0.065545,0.355321
-0.521366, -0.052922, -1.035599,0.372000,-0.057791,0.340663
0.422462, -0.034304, -1.354910,0.179358,-0.063510,0.353935
0.010756, -0.282690, -1.232658,-0.426185,-0.049647,0.284687
-0.101112, 0.074794, -0.883791,-0.328359,-0.030416,0.277703
-0.535101, -0.482655, -1.438250,0.346164,-0.050784,0.242277
-0.507132, -0.089515, -1.060503,0.231743,-0.035604,0.263826
-0.182609, 0.188394, -0.819398,-0.061208,0.169402,0.293995
-0.661724, -0.394888, -1.320336,-0.066680,0.224316,0.301575
-0.187091, 0.137981, -0.762002,-0.069414,-0.336557,0.186461
-0.007473, -0.662468, -1.661666,-0.064233,-0.299431,0.190311
0.029410, -0.110130, -0.923256,-0.061264,0.213340,0.284438
-0.254495, -0.180495, -1.091238,-0.046107,0.287882,0.291755
0.000943, -0.490539, -1.473916,-0.052557,0.234695,0.266835
-0.385924, 0.233093, -0.806219,-0.052257,0.054210,0.258168
-0.124757, -0.407667, -1.359354,-0.056049,-0.249178,0.173525
-0.078083, -0.333249, -1.303635,-0.065401,-0.261723,0.185052
0.084468, -0.131654, -0.888411,-0.031068,0.134890,0.238079
0.265022, -0.079156, -1.105482,-0.040558,0.088212,0.224594
0.164284, -0.086490, -1.083760, , , 
-0.167812, -0.317731, -1.254536, , , 
-0.118530, 0.049167, -0.881759, , , 
-0.502488, -0.048341, -1.022446, , , 
-0.135865, -0.031427, -0.896110, , , 
-0.194510, -0.308745, -1.229122, , , 
-0.192547, -0.361265, -1.221488, , , 
-0.399970, 0.008924, -1.005989, , , 
-0.095627, -0.098329, -1.068406, , , 
-0.181174, -0.424057, -1.402098, , , 
-0.139092, -0.613806, -1.633047, , , 
-0.216517, -0.242186, -1.134713, , , 
0.515227, -0.164987, -1.096992, , , 
-0.637682, -0.458785, -1.389721, , , 
-0.328333, 0.187401, -0.851315, , , 
-0.206169, 0.043687, -0.729107, , , 
-0.466397, 0.105815, -0.888685, , , 
0.104225, 0.110584, -0.877466, , , 
-0.011751, 0.223406, -0.804908, , , 
-0.521435, -0.054958, -1.036234, , , 
-0.039066, -0.229630, -1.214345, , , 
0.211011, 0.149351, -0.804924, , , 
-0.525349, -0.160572, -1.133526, , , 
-0.300360, -0.069276, -0.820427, , , 
-0.307489, -0.498228, -1.508883, , , 
-0.367819, -0.531693, -1.550506, , , 
0.212912, -0.122851, -0.915969, , , 
-0.000219, -0.497798, -1.340436, , , 
